Freq.	V(vo)
1.00000000000000e+002	(-1.00141445192280e-001dB,-8.86301777771978e+000°)
1.00230293249304e+002	(-1.00599175313476e-001dB,-8.88317863912193e+000°)
1.00461116848415e+002	(-1.01058979279078e-001dB,-8.90338422604906e+000°)
1.00692472018692e+002	(-1.01520866318483e-001dB,-8.92363463002353e+000°)
1.00924359984308e+002	(-1.01984845700650e-001dB,-8.94392994270258e+000°)
1.01156781972255e+002	(-1.02450926734274e-001dB,-8.96427025587818e+000°)
1.01389739212350e+002	(-1.02919118767921e-001dB,-8.98465566147682e+000°)
1.01623232937243e+002	(-1.03389431190217e-001dB,-9.00508625155937e+000°)
1.01857264382422e+002	(-1.03861873429966e-001dB,-9.02556211832090e+000°)
1.02091834786220e+002	(-1.04336454956345e-001dB,-9.04608335409039e+000°)
1.02326945389823e+002	(-1.04813185279037e-001dB,-9.06665005133072e+000°)
1.02562597437275e+002	(-1.05292073948394e-001dB,-9.08726230263831e+000°)
1.02798792175484e+002	(-1.05773130555611e-001dB,-9.10792020074298e+000°)
1.03035530854230e+002	(-1.06256364732870e-001dB,-9.12862383850778e+000°)
1.03272814726172e+002	(-1.06741786153522e-001dB,-9.14937330892875e+000°)
1.03510645046852e+002	(-1.07229404532212e-001dB,-9.17016870513473e+000°)
1.03749023074706e+002	(-1.07719229625070e-001dB,-9.19101012038710e+000°)
1.03987950071066e+002	(-1.08211271229875e-001dB,-9.21189764807963e+000°)
1.04227427300169e+002	(-1.08705539186190e-001dB,-9.23283138173823e+000°)
1.04467456029164e+002	(-1.09202043375564e-001dB,-9.25381141502072e+000°)
1.04708037528119e+002	(-1.09700793721650e-001dB,-9.27483784171661e+000°)
1.04949173070025e+002	(-1.10201800190416e-001dB,-9.29591075574689e+000°)
1.05190863930806e+002	(-1.10705072790267e-001dB,-9.31703025116375e+000°)
1.05433111389323e+002	(-1.11210621572244e-001dB,-9.33819642215039e+000°)
1.05675916727383e+002	(-1.11718456630170e-001dB,-9.35940936302074e+000°)
1.05919281229746e+002	(-1.12228588100829e-001dB,-9.38066916821924e+000°)
1.06163206184130e+002	(-1.12741026164108e-001dB,-9.40197593232059e+000°)
1.06407692881216e+002	(-1.13255781043197e-001dB,-9.42332975002949e+000°)
1.06652742614662e+002	(-1.13772863004739e-001dB,-9.44473071618038e+000°)
1.06898356681101e+002	(-1.14292282358987e-001dB,-9.46617892573716e+000°)
1.07144536380154e+002	(-1.14814049460002e-001dB,-9.48767447379297e+000°)
