Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.1564077226483445,-8.864768555638506
104.7128548050901,-0.1664558764657489,-9.280477373980375
109.6478196143186,-0.176926827364131,-9.708189035251522
114.8153621496884,-0.1882755979522681,-10.15787793696435
120.2264434617413,-0.2009935244467098,-10.62997281837907
125.8925411794169,-0.2144004073608588,-11.11979857255358
131.8256738556409,-0.2294204799100755,-11.63177483516662
138.0384264602885,-0.2458316109447808,-12.16697972838945
144.543977074593,-0.2638820817930719,-12.72366672536455
151.356124843621,-0.283953657134529,-13.31001093035609
158.4893192461114,-0.3048547761960898,-13.91512379279069
165.9586907437563,-0.3280871214730902,-14.55088528568933
173.7800828749376,-0.3532774931500482,-15.20926976041451
181.9700858609984,-0.3814551972857982,-15.8989227393859
190.546071796325,-0.4115801999056986,-16.61518662219467
199.5262314968881,-0.4447328391262603,-17.36152446276959
208.9296130854041,-0.4809216166910213,-18.13961955878133
218.7761623949554,-0.5198423888738022,-18.94715368011274
229.0867652767774,-0.5631662205764137,-19.78362100659393
239.8832919019493,-0.6082477030144596,-20.65359043429828
251.1886431509582,-0.6601666651115533,-21.56206319976891
263.0267991895385,-0.7131541385296892,-22.50123740468579
275.4228703338169,-0.7736619165324727,-23.4708921080868
288.4031503126608,-0.8378655036052163,-24.47970633749647
301.9951720402019,-0.9079308254670021,-25.52168729685987
316.2277660168382,-0.9830378269972722,-26.59678987449801
331.1311214825914,-1.064961360946359,-27.70995138183665
346.7368504525317,-1.152672948548627,-28.85873577916504
363.0780547701017,-1.248332506915612,-30.04082873654615
380.1893963205617,-1.351563079085027,-31.25508289090376
398.1071705534973,-1.462133653320556,-32.50901069209998
416.8693834703359,-1.581350171364576,-33.79070558232551
436.5158322401666,-1.709642897109094,-35.10691667016907
457.0881896148752,-1.847247884902602,-36.4547534646191
478.630092322639,-1.994320116545894,-37.83144052762166
501.187233627273,-2.152194380248254,-39.2340832984554
524.8074602497728,-2.320389693607529,-40.67000841016286
549.5408738576255,-2.50008832988645,-42.12761180648084
575.4399373371577,-2.691628626312635,-43.60807967426081
602.5595860743581,-2.895833603693815,-45.11267915943623
630.9573444801937,-3.113056547254617,-46.63703978608928
660.6934480075964,-3.34316784208283,-48.18255536403024
691.8309709189369,-3.588014425119948,-49.73783842368086
724.4359600749906,-3.847546350695074,-51.30865590316186
758.5775750291843,-4.122265265993155,-52.89571950066147
794.3282347242821,-4.412702844090371,-54.49196204267398
831.7637711026717,-4.720487715116158,-56.09439329785828
870.9635899560815,-5.045300925137303,-57.70361437703863
912.0108393559105,-5.387853799190604,-59.32001997849264
954.992586021437,-5.749570601789348,-60.94054243854062
1000,-6.131657315468636,-62.56611901911474
1047.128548050901,-6.535837705747406,-64.19378070855824
1096.478196143186,-6.96277670324764,-65.82775102383027
1148.153621496883,-7.413772693256789,-67.46559378537333
1202.264434617414,-7.890859791951791,-69.11239134582731
1258.925411794168,-8.397034159371584,-70.7649304708886
1318.256738556408,-8.935757411381852,-72.43583212188373
1380.384264602886,-9.508939690539542,-74.12003297200607
